ID, Size, Predicted, Actual
0,215,3.896365624899149E-9,NO
1,274,8.398929920735546E-8,YES
2,461,8.932784542829825E-8,YES
3,138,3.805210508890109E-9,NO
4,358,7.195608735204104E-10,NO
5,1248,0.9999999993905166,YES
6,51,6.6027909050981E-10,NO
7,45,3.4524643003295595E-9,NO
8,157,6.736872717322696E-10,NO
9,31,6.6027909050981E-10,NO
10,1008,8.97564127174024E-7,YES
11,55,1.0646320839233806E-8,NO
12,204,0.5634626739894201,NO
13,55,3.847902399001472E-9,NO
14,103,2.8910583147602386E-8,NO
15,83,3.273881985336351E-6,YES
16,262,3.948039988142331E-9,NO
17,83,1.2503962123162563E-8,NO
18,867,0.9999999899399425,YES
19,40,6.6027909050981E-10,NO
20,387,0.011701512550411668,YES
21,390,4.129261517055999E-9,NO
22,51,6.6027909050981E-10,NO
23,637,1.0,YES
24,32,6.6027909050981E-10,NO
25,68,3.449685314775812E-9,YES
26,547,1.0,NO
27,566,1.0,NO
28,314,0.008518771801707922,YES
29,839,0.6010130756334384,NO
30,211,7.01351606374433E-8,NO
31,31,3.1578552226480296E-9,NO
32,50,6.6027909050981E-10,NO
33,27,6.6027909050981E-10,NO
34,175,1.0,NO
35,50,3.677037938982797E-9,NO
36,62,6.6027909050981E-10,NO
37,87,3.76547277021869E-9,NO
38,52,6.6027909050981E-10,NO
39,373,8.58195581852065E-4,NO
40,224,2.3918313152040995E-4,NO
41,118,6.736872717322696E-10,YES
42,83,6.666519687521133E-10,NO
43,147,6.736872717322696E-10,NO
44,58,3.7294766274928535E-9,NO
45,44,6.6027909050981E-10,NO
46,106,6.666519687521133E-10,NO
47,189,8.187811461566459E-8,NO
48,151,6.736872717322696E-10,NO
49,352,7.195608735204104E-10,YES
50,849,3.538802461712217E-8,YES
51,877,5.08197962111331E-9,YES
52,41,3.4524643003295595E-9,NO
53,319,7.088765202315316E-10,YES
54,27,6.6027909050981E-10,NO
55,55,6.6027909050981E-10,NO
56,94,6.666519687521133E-10,NO
57,191,6.81404618319414E-10,NO
58,90,6.666519687521133E-10,NO
59,90,6.666519687521133E-10,NO
60,271,3.948039988142331E-9,YES
61,152,3.3443088258947754E-9,NO
62,90,3.581002142099734E-9,YES
63,82,3.76547277021869E-9,NO
64,147,6.736872717322696E-10,NO
