ID, Size, Predicted, Actual
0,215,0.06032506601591337,NO
1,274,0.06107624523504012,YES
2,461,0.06470718476994801,YES
3,138,0.058997029101389487,NO
4,358,0.06276219778645803,NO
5,1248,0.998554690017369,YES
6,51,0.05789080551470863,NO
7,45,0.05789080551470863,NO
8,157,0.058997029101389487,NO
9,31,0.05789080551470863,NO
10,1008,0.0831385710968861,YES
11,55,0.05789080551470863,NO
12,204,0.3234090934452075,NO
13,55,0.05789080551470863,NO
14,103,0.058416915224922546,NO
15,83,0.981798899813035,YES
16,262,0.06107624523504012,NO
17,83,0.058416915224922546,NO
18,867,0.9981810079486044,YES
19,40,0.05789080551470863,NO
20,387,0.33544404791241594,YES
21,390,0.06370115914937598,NO
22,51,0.05789080551470863,NO
23,637,1.0,YES
24,32,0.05789080551470863,NO
25,68,0.05789080551470863,YES
26,547,0.9999999991317116,NO
27,566,0.9989942550100623,NO
28,314,0.982864479011131,YES
29,839,0.38107559231007376,NO
30,211,0.06032506601591337,NO
31,31,0.05789080551470863,NO
32,50,0.05789080551470863,NO
33,27,0.05789080551470863,NO
34,175,1.0,NO
35,50,0.05789080551470863,NO
36,62,0.05789080551470863,NO
37,87,0.058416915224922546,NO
38,52,0.05789080551470863,NO
39,373,0.33544404791241594,NO
40,224,0.3261025367371196,NO
41,118,0.058997029101389487,YES
42,83,0.058416915224922546,NO
43,147,0.058997029101389487,NO
44,58,0.05789080551470863,NO
45,44,0.05789080551470863,NO
46,106,0.058416915224922546,NO
47,189,0.059632561051179395,NO
48,151,0.058997029101389487,NO
49,352,0.06276219778645803,YES
50,849,0.0772629587096917,YES
51,877,0.0772629587096917,YES
52,41,0.05789080551470863,NO
53,319,0.061887951982225985,YES
54,27,0.05789080551470863,NO
55,55,0.05789080551470863,NO
56,94,0.058416915224922546,NO
57,191,0.059632561051179395,NO
58,90,0.058416915224922546,NO
59,90,0.058416915224922546,NO
60,271,0.06107624523504012,YES
61,152,0.058997029101389487,NO
62,90,0.058416915224922546,YES
63,82,0.058416915224922546,NO
64,147,0.058997029101389487,NO
65,422,0.06370115914937598,YES
66,1059,0.9878206516401579,YES
67,530,0.06693073154810354,NO
68,205,0.059632561051179395,YES
69,190,0.9821859402195262,YES
70,86,0.058416915224922546,NO
71,207,0.9823995782548021,YES
72,397,0.06370115914937598,YES
73,573,0.06815388341478154,NO
74,126,0.058997029101389487,YES
75,167,0.059632561051179395,YES
76,109,0.058416915224922546,NO
77,85,0.058416915224922546,NO
78,237,0.06032506601591337,NO
79,424,0.06370115914937598,YES
80,47,0.05789080551470863,NO
81,1118,0.9885146073949361,YES
82,27,0.05789080551470863,NO
83,89,0.058416915224922546,NO
84,474,0.06470718476994801,YES
85,166,0.059632561051179395,NO
86,92,0.058416915224922546,NO
87,476,0.06470718476994801,YES
88,93,0.058416915224922546,NO
89,244,0.06032506601591337,NO
90,204,0.059632561051179395,YES
91,252,0.06107624523504012,NO
92,109,0.058416915224922546,YES
93,618,0.06945537910574041,YES
94,565,0.06693073154810354,YES
95,69,0.058416915224922546,NO
96,77,0.058416915224922546,NO
97,97,0.058416915224922546,NO
98,343,0.06276219778645803,NO
99,214,0.06032506601591337,NO
100,79,0.058416915224922546,NO
101,25,0.05789080551470863,NO
102,84,0.058416915224922546,NO
103,34,0.05789080551470863,NO
104,33,0.05789080551470863,NO
105,104,0.058416915224922546,NO
