RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,AVG_LOC_ADDED,MAX_LOC_ADDED,LOC_REMOVED,AVG_LOC_REMOVED,MAX_LOC_REMOVED,CHURN,AVG_CHURN,MAX_CHURN,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,storm-core/src/jvm/backtype/storm/generated/JavaObject.java,462,1389,463.0,463,0,0.0,0,1389,463.0,463,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/JavaObjectArg.java,532,1596,532.0,532,0,0.0,0,1596,532.0,532,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/KillOptions.java,319,960,320.0,320,0,0.0,0,960,320.0,320,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/Nimbus.java,13491,40473,13491.0,13491,0,0.0,0,40473,13491.0,13491,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/NotAliveException.java,327,984,328.0,328,0,0.0,0,984,328.0,328,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,224,675,225.0,225,0,0.0,0,675,225.0,225,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/RebalanceOptions.java,548,1647,549.0,549,0,0.0,0,1647,549.0,549,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/ShellComponent.java,416,1251,417.0,417,0,0.0,0,1251,417.0,417,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/SpoutSpec.java,426,1281,427.0,427,0,0.0,0,1281,427.0,427,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/SpoutStats.java,755,2268,756.0,756,0,0.0,0,2268,756.0,756,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java,426,1281,427.0,427,0,0.0,0,1281,427.0,427,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/StormTopology.java,659,1980,660.0,660,0,0.0,0,1980,660.0,660,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/StreamInfo.java,461,1386,462.0,462,0,0.0,0,1386,462.0,462,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java,339,1020,340.0,340,0,0.0,0,1020,340.0,340,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java,705,2118,706.0,706,0,0.0,0,2118,706.0,706,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java,917,2754,918.0,918,0,0.0,0,2754,918.0,918,3,0,2,NO
1,storm-core/src/jvm/backtype/storm/generated/TopologyInitialStatus.java,44,132,44.0,44,0,0.0,0,132,44.0,44,3,0,2,NO
