@relation storm_trainingSet17.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute LOC_REMOVED numeric
@attribute AVG_LOC_REMOVED numeric
@attribute MAX_LOC_REMOVED numeric
@attribute CHURN numeric
@attribute AVG_CHURN numeric
@attribute MAX_CHURN numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES','NO'}

@data
958,3504,100.11428571428571,799,829,23.685714285714287,122,2819,80.54285714285714,799,35,0,9,YES
89,108,21.6,82,12,2.4,6,96,19.2,82,5,0,3,YES
18,54,18.0,18,0,0.0,0,54,18.0,18,3,0,2,NO
30,90,30.0,30,0,0.0,0,90,30.0,30,3,0,2,NO
10,30,10.0,10,0,0.0,0,30,10.0,10,3,0,2,NO
152,456,152.0,152,0,0.0,0,456,152.0,152,3,0,2,NO
102,306,102.0,102,0,0.0,0,306,102.0,102,3,0,2,NO
136,408,136.0,136,0,0.0,0,408,136.0,136,3,0,2,NO
34,104,20.8,34,2,0.4,1,102,20.4,34,5,0,3,NO
34,104,20.8,34,2,0.4,1,102,20.4,34,5,0,3,NO
91,273,91.0,91,0,0.0,0,273,91.0,91,3,0,2,NO
29,87,29.0,29,0,0.0,0,87,29.0,29,3,0,2,NO
36,108,36.0,36,0,0.0,0,108,36.0,36,3,0,2,NO
419,1257,419.0,419,0,0.0,0,1257,419.0,419,3,0,2,NO
365,1095,365.0,365,0,0.0,0,1095,365.0,365,3,0,2,NO
13,39,13.0,13,0,0.0,0,39,13.0,13,3,0,2,NO
5,15,5.0,5,0,0.0,0,15,5.0,5,3,0,2,NO
74,222,74.0,74,0,0.0,0,222,74.0,74,3,0,2,NO
152,456,152.0,152,0,0.0,0,456,152.0,152,3,0,2,NO
58,174,58.0,58,0,0.0,0,174,58.0,58,3,0,2,NO
76,228,76.0,76,0,0.0,0,228,76.0,76,3,0,2,NO
32,96,32.0,32,0,0.0,0,96,32.0,32,3,0,2,NO
366,1098,366.0,366,0,0.0,0,1098,366.0,366,3,0,2,NO
42,126,42.0,42,0,0.0,0,126,42.0,42,3,0,2,NO
78,234,78.0,78,0,0.0,0,234,78.0,78,3,0,2,NO
327,984,328.0,328,0,0.0,0,984,328.0,328,3,0,2,NO
426,1281,427.0,427,0,0.0,0,1281,427.0,427,3,0,2,NO
1110,3333,1111.0,1111,0,0.0,0,3333,1111.0,1111,3,0,2,NO
597,1794,598.0,598,0,0.0,0,1794,598.0,598,3,0,2,NO
706,2121,707.0,707,0,0.0,0,2121,707.0,707,3,0,2,NO
385,1155,385.0,385,0,0.0,0,1155,385.0,385,3,0,2,NO
327,984,328.0,328,0,0.0,0,984,328.0,328,3,0,2,NO
424,1275,425.0,425,0,0.0,0,1275,425.0,425,3,0,2,NO
964,2892,964.0,964,0,0.0,0,2892,964.0,964,3,0,2,NO
2015,6045,2015.0,2015,0,0.0,0,6045,2015.0,2015,3,0,2,NO
424,1275,425.0,425,0,0.0,0,1275,425.0,425,3,0,2,NO
419,1260,420.0,420,0,0.0,0,1260,420.0,420,3,0,2,NO
318,954,318.0,318,0,0.0,0,954,318.0,318,3,0,2,NO
678,2037,679.0,679,0,0.0,0,2037,679.0,679,3,0,2,NO
807,2424,808.0,808,0,0.0,0,2424,808.0,808,3,0,2,NO
424,1275,425.0,425,0,0.0,0,1275,425.0,425,3,0,2,NO
662,1986,662.0,662,0,0.0,0,1986,662.0,662,3,0,2,NO
327,984,328.0,328,0,0.0,0,984,328.0,328,3,0,2,NO
462,1389,463.0,463,0,0.0,0,1389,463.0,463,3,0,2,NO
532,1596,532.0,532,0,0.0,0,1596,532.0,532,3,0,2,NO
319,960,320.0,320,0,0.0,0,960,320.0,320,3,0,2,NO
13491,40473,13491.0,13491,0,0.0,0,40473,13491.0,13491,3,0,2,NO
327,984,328.0,328,0,0.0,0,984,328.0,328,3,0,2,NO
224,675,225.0,225,0,0.0,0,675,225.0,225,3,0,2,NO
548,1647,549.0,549,0,0.0,0,1647,549.0,549,3,0,2,NO
416,1251,417.0,417,0,0.0,0,1251,417.0,417,3,0,2,NO
426,1281,427.0,427,0,0.0,0,1281,427.0,427,3,0,2,NO
755,2268,756.0,756,0,0.0,0,2268,756.0,756,3,0,2,NO
426,1281,427.0,427,0,0.0,0,1281,427.0,427,3,0,2,NO
659,1980,660.0,660,0,0.0,0,1980,660.0,660,3,0,2,NO
461,1386,462.0,462,0,0.0,0,1386,462.0,462,3,0,2,NO
339,1020,340.0,340,0,0.0,0,1020,340.0,340,3,0,2,NO
705,2118,706.0,706,0,0.0,0,2118,706.0,706,3,0,2,NO
917,2754,918.0,918,0,0.0,0,2754,918.0,918,3,0,2,NO
44,132,44.0,44,0,0.0,0,132,44.0,44,3,0,2,NO
894,2685,895.0,895,0,0.0,0,2685,895.0,895,3,0,2,NO
26,78,26.0,26,0,0.0,0,78,26.0,26,3,0,2,NO
44,132,44.0,44,0,0.0,0,132,44.0,44,3,0,2,NO
21,63,21.0,21,0,0.0,0,63,21.0,21,3,0,2,NO
15,45,15.0,15,0,0.0,0,45,15.0,15,3,0,2,NO
15,45,15.0,15,0,0.0,0,45,15.0,15,3,0,2,NO
15,45,15.0,15,0,0.0,0,45,15.0,15,3,0,2,NO
