@relation bookkeeper_trainingSet3.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
31,32,16.0,31,1,0.5,1,31,15.5,31,2,0,2,NO
57,61,30.5,57,4,2.0,4,57,28.5,57,2,0,2,NO
104,111,55.5,104,7,3.5,7,104,52.0,104,2,0,2,YES
32,32,32.0,32,0,0.0,0,32,32.0,32,1,0,1,YES
227,279,93.0,226,52,17.333333333333332,50,227,75.66666666666667,226,3,0,2,NO
197,208,52.0,187,11,2.75,6,197,49.25,187,4,0,3,YES
75,81,40.5,75,6,3.0,6,75,37.5,75,2,0,2,YES
28,28,28.0,28,0,0.0,0,28,28.0,28,1,0,1,NO
52,54,27.0,52,2,1.0,2,52,26.0,52,2,0,2,YES
429,506,168.66666666666666,428,77,25.666666666666668,75,429,143.0,428,3,0,2,YES
103,134,67.0,104,30,15.0,30,104,52.0,104,2,0,2,NO
35,35,35.0,35,0,0.0,0,35,35.0,35,1,0,1,YES
98,99,49.5,98,1,0.5,1,98,49.0,98,2,0,2,NO
79,94,31.333333333333332,78,15,5.0,13,79,26.333333333333332,78,3,0,2,NO
215,227,75.66666666666667,177,12,4.0,8,215,71.66666666666667,177,3,1,1,YES
271,284,142.0,260,13,6.5,13,271,135.5,260,2,0,1,NO
451,534,106.8,425,83,16.6,55,459,91.8,425,5,0,3,NO
137,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
368,305,152.5,294,181,90.5,171,124,62.0,123,2,0,2,YES
764,580,29.0,106,842,42.1,370,612,30.6,327,20,9,3,YES
