Ticket_ID,Commit_Hash,Author,Date,Message,Changed_Files
BOOKKEEPER-467,b3a05cd74652affe4a69f40609de0b92769e05a4,Ivan Brendan Kelly,2012-11-23 10:49:51 +0000,BOOKKEEPER-467: Allocate ports for testing dynamically (ivank),CHANGES.txt;bookkeeper-benchmark/pom.xml;bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/PortManager.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/TestBackwardCompat.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java;hedwig-server/src/test/java/org/apache/hedwig/client/TestPubSubClient.java;hedwig-server/src/test/java/org/apache/hedwig/client/netty/TestMultiplexing.java;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigHubTestBase.java;hedwig-server/src/test/java/org/apache/hedwig/server/HedwigRegionTestBase.java;hedwig-server/src/test/java/org/apache/hedwig/server/PubSubServerStandAloneTestBase.java;hedwig-server/src/test/java/org/apache/hedwig/server/TestBackwardCompat.java;hedwig-server/src/test/java/org/apache/hedwig/server/TestPubSubServerStartup.java;hedwig-server/src/test/java/org/apache/hedwig/server/delivery/TestThrottlingDelivery.java;hedwig-server/src/test/java/org/apache/hedwig/server/filter/TestMessageFilter.java;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java;hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigRegion.java;hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestPubSubServer.java;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/MessageBoundedPersistenceTest.java;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestDeadlock.java;hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/TestUpdateSubscriptionState.java;hedwig-server/src/test/java/org/apache/hedwig/server/topics/TestConcurrentTopicAcquisition.java;hedwig-server/src/test/java/org/apache/hedwig/zookeeper/ZooKeeperTestBase.java
BOOKKEEPER-471,8a3b4ac9a70eca5e55f7c5163c9c62d677c06aa7,Ivan Brendan Kelly,2012-11-27 09:50:56 +0000,BOOKKEEPER-471: Add scripts for preCommit testing (ivank),CHANGES.txt;bin/find-new-patch-available-jiras;bin/test-patch;bin/test-patch-00-clean;bin/test-patch-05-patch-raw-analysis;bin/test-patch-08-rat;bin/test-patch-09-javadoc;bin/test-patch-10-compile;bin/test-patch-11-findbugs;bin/test-patch-20-tests;bin/test-patch-30-dist;pom.xml
BOOKKEEPER-479,d3ee645781a1ed422d53a027e3d397451dd4c0d2,Flavio Paiva Junqueira,2012-11-27 14:36:23 +0000,BOOKKEEPER-479: Fix apache-rat issues in tree (ivank via fpj),CHANGES.txt;hedwig-client/src/main/java/org/apache/hedwig/client/netty/VoidCallbackAdapter.java;hedwig-server/src/test/java/org/apache/hedwig/server/netty/TestServerStats.java
BOOKKEEPER-477,38336805e367664fbda2a9c6993d5d343c956752,Flavio Paiva Junqueira,2012-11-27 15:52:45 +0000,"BOOKKEEPER-477: In ReadOnlyBookieTest, we should wait for the bookie to die before asserting on it (ivank via fpj)",CHANGES.txt;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ReadOnlyBookieTest.java
BOOKKEEPER-457,0d198abad7b41d8326913384967aeb1239ab0528,Ivan Brendan Kelly,2012-11-29 14:18:59 +0000,BOOKKEEPER-457: Create a format command for Hedwig to cleanup its metadata. (sijie via ivank),CHANGES.txt;hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java;hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigCommands.java;hedwig-server/src/main/java/org/apache/hedwig/admin/console/HedwigConsole.java;hedwig-server/src/main/java/org/apache/hedwig/server/meta/FactoryLayout.java;hedwig-server/src/main/java/org/apache/hedwig/server/meta/MetadataManagerFactory.java;hedwig-server/src/main/java/org/apache/hedwig/server/meta/ZkMetadataManagerFactory.java;hedwig-server/src/test/java/org/apache/hedwig/server/meta/TestMetadataManagerFactory.java;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManager.java
BOOKKEEPER-481,aa1fecd255bcc3c23d4037c675df88c9c0ba78ab,Sijie Guo,2012-11-30 03:54:14 +0000,BOOKKEEPER-481: Fix javadoc warnings (ivank via sijie),bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerFragment.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java
BOOKKEEPER-480,2522f9863b30359b617b6fd2ab6190c1f1cc8570,Sijie Guo,2012-11-30 03:56:02 +0000,BOOKKEEPER-480: Fix javac warnings (ivank via sijie),bookkeeper-server/pom.xml;hedwig-server/pom.xml
BOOKKEEPER-482,e14983cbea5238a75a45bff4f23a8e431a5892f0,Sijie Guo,2012-12-01 05:32:49 +0000,BOOKKEEPER-482: Precommit is reporting findbugs errors in trunk (ivank via sijie),CHANGES.txt;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java
BOOKKEEPER-485,100785f6f1feb2e6dd1c7de769adab5c88e87427,Flavio Paiva Junqueira,2012-12-01 14:04:29 +0000,BOOKKEEPER-485: TestFencing hung (ivank via fpj),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestPerChannelBookieClient.java
BOOKKEEPER-351,c958b32da81936cee535c411f2214d900f54442c,Sijie Guo,2012-12-03 05:23:40 +0000,BOOKKEEPER-351: asyncAddEntry should not throw an exception (Matteo Merli via sijie),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTest.java
BOOKKEEPER-336,f12b7896e1640bed64cedb0d96bdd82b6cf26a86,Ivan Brendan Kelly,2012-12-03 09:46:05 +0000,BOOKKEEPER-336 bookie readEntries is taking more time if the ensemble has failed bookie(s) Basic speculative functionality  in place,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestSpeculativeRead.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java
BOOKKEEPER-291,6a6d25e7e9a2c3cc4370799ec2529915929e5acc,Ivan Brendan Kelly,2012-12-03 09:49:57 +0000,BOOKKEEPER-291: BKMBeanRegistry uses log4j directly (fpj via ivank),CHANGES.txt;bookkeeper-server/src/main/java/org/apache/bookkeeper/jmx/BKMBeanRegistry.java
BOOKKEEPER-336,bdf3bfd631493d82688404dde35eed491ec946ad,Ivan Brendan Kelly,2012-12-03 09:55:01 +0000,"[REVERT] BOOKKEEPER-336 bookie readEntries is taking more time if the ensemble has failed bookie(s) Basic speculative functionality  in place Accidently committed this change, before approval. Reverting (ivank)",bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestSpeculativeRead.java;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java
BOOKKEEPER-442,0ea460606e4a45a07a79c356ad1d58a6119e0d31,Ivan Brendan Kelly,2012-12-03 15:27:32 +0000,BOOKKEEPER-442: Failed to deliver messages due to inconsistency between SubscriptionState and LedgerRanges. (jiannan via ivank),CHANGES.txt;hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java;hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/TestBookKeeperPersistenceManager.java
BOOKKEEPER-484,c86eb1c481fd837269d370cbcc248274708b0887,Flavio Paiva Junqueira,2012-12-03 20:31:51 +0000,BOOKKEEPER-484: Misc fixes for test scripts (ivank via fpj),CHANGES.txt;bin/test-patch
