Version,File,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,WeightedAge,Buggy
4.2.1,hedwig-server/src/test/java/org/apache/hedwig/server/delivery/TestThrottlingDelivery.java,422.0,471.0,9,0,3,422.0,207.0,46.888888888888886,114.87640589295762,85.0,12.764045099217514,201,78.0,22.333333333333332,593.0,279303.0,No
Pre-Release,bookkeeper/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,168.0,168.0,1,0,1,168.0,168.0,168.0,0.8115942028985508,0.8115942028985508,0.8115942028985508,207,207.0,207.0,-251.0,-42168.0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,116.0,131.0,5,0,4,116.0,93.0,23.2,5.117298812175907,4.5,1.0234597624351813,516,207.0,103.2,399.0,52269.0,No
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,16.0,29.0,6,0,3,16.0,7.0,2.6666666666666665,0.484780085034754,0.13333333333333333,0.08079668083912567,417,171.0,69.5,677.0,19633.0,No
4.2.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,1039.0,1656.0,18,0,4,1039.0,585.0,57.72222222222222,88.72369549998068,30.0,4.929094194443371,725,207.0,40.27777777777778,474.0,784944.0,No
4.1.0,hedwig-server/src/test/java/org/apache/hedwig/server/subscriptions/StubSubscriptionManager.java,59.0,63.0,4,0,3,59.0,52.0,14.75,0.7326006055983172,0.3333333333333333,0.1831501513995793,418,207.0,104.5,282.0,17766.0,No
4.1.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/SubscriptionEventEmitter.java,50.0,50.0,1,0,1,50.0,50.0,50.0,1.6129032258064515,1.6129032258064515,1.6129032258064515,31,31.0,31.0,294.0,14700.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/JmsTopicSendReceiveWithTwoConnectionsWithJMXTest.java,28.0,28.0,1,0,1,28.0,28.0,28.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,147,147.0,147.0,421.0,11788.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/perf/SimpleDurableTopicNetworkTest.java,50.0,50.0,1,0,1,50.0,50.0,50.0,0.3401360544217687,0.3401360544217687,0.3401360544217687,147,147.0,147.0,421.0,21050.0,No
4.2.0,hedwig-client-jms/src/main/java/org/apache/hedwig/jms/ConnectionMetaDataImpl.java,77.0,77.0,1,0,1,77.0,77.0,77.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,147,147.0,147.0,421.0,32417.0,No
4.1.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/metastore/MetastoreFactory.java,33.0,33.0,1,0,1,33.0,33.0,33.0,2.0625,2.0625,2.0625,16,16.0,16.0,338.0,11154.0,No
4.1.0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,477.0,599.0,9,1,4,477.0,241.0,53.0,65.23954997184624,61.6,7.248838885760694,613,207.0,68.11111111111111,282.0,168918.0,No
4.2.0,hedwig-client-jms/src/main/java/org/apache/hedwig/jms/message/MessageUtil.java,444.0,444.0,1,0,1,444.0,444.0,444.0,3.020408163265306,3.020408163265306,3.020408163265306,147,147.0,147.0,421.0,186924.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/JmsAutoAckListenerTest.java,77.0,77.0,1,0,1,77.0,77.0,77.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,147,147.0,147.0,421.0,32417.0,No
Pre-Release,{bookkeeper => bookkeeper-server}/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,56,56.0,56.0,-250.0,-0.0,No
Pre-Release,{bookkeeper => bookkeeper-server}/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,56,56.0,56.0,-250.0,-0.0,No
Pre-Release,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,28.0,29.0,2,0,2,28.0,27.0,14.0,0.14213068904144419,0.13043478260869565,0.07106534452072209,378,207.0,189.0,-92.0,-2668.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/JmsTopicRedeliverTest.java,176.0,176.0,1,0,1,176.0,176.0,176.0,1.1972789115646258,1.1972789115646258,1.1972789115646258,147,147.0,147.0,421.0,74096.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/JmsSendReceiveWithMessageExpirationTest.java,239.0,239.0,1,0,1,239.0,239.0,239.0,1.6258503401360545,1.6258503401360545,1.6258503401360545,147,147.0,147.0,421.0,100619.0,No
4.2.0,hedwig-client-jms/src/test/java/org/apache/activemq/util/Wait.java,40.0,40.0,1,0,1,40.0,40.0,40.0,0.272108843537415,0.272108843537415,0.272108843537415,147,147.0,147.0,421.0,16840.0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/ReadOnlyEntryLogger.java,60.0,62.0,3,0,1,60.0,58.0,20.0,5.142857142857142,4.833333333333333,1.7142857142857142,38,14.0,12.666666666666666,726.0,45012.0,No
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/TestLedgerUnderreplicationManager.java,832.0,901.0,14,1,3,832.0,359.0,59.42857142857143,214.47322954822954,57.0,15.31951639630211,198,78.0,14.142857142857142,675.0,608175.0,No
Pre-Release,bookkeeper/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,140.0,140.0,1,0,1,140.0,140.0,140.0,0.6763285024154589,0.6763285024154589,0.6763285024154589,207,207.0,207.0,-251.0,-35140.0,No
4.1.0,bookkeeper-benchmark/src/test/java/org/apache/bookkeeper/benchmark/TestBenchmark.java,242.0,321.0,6,0,2,242.0,211.0,40.333333333333336,60.79818744473917,52.75,10.133031240789862,121,78.0,20.166666666666668,388.0,124548.0,No
4.2.2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,305.0,406.0,6,0,2,305.0,144.0,50.833333333333336,17.51868686868687,4.636363636363637,2.9197811447811453,124,44.0,20.666666666666668,772.0,313432.0,No
4.2.2,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/TestLedgerDirsManager.java,87.0,94.0,5,0,3,87.0,80.0,17.4,27.162393162393162,26.666666666666668,5.432478632478633,189,78.0,37.8,726.0,68244.0,No
4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,81.0,98.0,5,0,2,81.0,39.0,16.2,20.778537497213218,12.5,4.155707499442643,282,171.0,56.4,68.0,6664.0,No
4.2.0,hedwig-server/src/main/java/org/apache/hedwig/admin/console/JLineHedwigCompletor.java,112.0,120.0,3,0,2,112.0,92.0,37.333333333333336,20.64175824175824,18.4,6.88058608058608,51,39.0,17.0,474.0,56880.0,No
Pre-Release,{bookkeeper => bookkeeper-server}/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,56,56.0,56.0,-250.0,-0.0,No
Pre-Release,{bookkeeper => bookkeeper-server}/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,56,56.0,56.0,-250.0,-0.0,No
