ID, Size, Predicted, Actual
0,120,5.9319017677067274E-5,NO
1,22,1.1864929640967229E-5,NO
2,75,1.9774569903104608E-5,NO
3,135,5.9319017677067274E-5,NO
4,79,1.9774569903104608E-5,NO
5,91,2.9661268315833188E-5,NO
6,70,5.9319017677067274E-5,NO
7,57,5.9319017677067274E-5,NO
8,70,5.9319017677067274E-5,NO
9,59,2.9661268315833188E-5,NO
10,88,2.9661268315833188E-5,NO
11,40,9.887480472226067E-6,NO
12,104,5.9319017677067274E-5,NO
13,196,5.9319017677067274E-5,NO
14,202,5.9319017677067274E-5,NO
15,97,5.9319017677067274E-5,NO
16,99,5.9319017677067274E-5,NO
17,96,2.9661268315833188E-5,NO
18,189,5.9319017677067274E-5,NO
19,151,2.9661268315833188E-5,NO
20,153,2.9661268315833188E-5,NO
21,199,5.9319017677067274E-5,NO
22,90,5.9319017677067274E-5,NO
23,115,5.9319017677067274E-5,NO
24,62,1.9774569903104608E-5,NO
25,61,1.9774569903104608E-5,NO
26,91,2.9661268315833188E-5,NO
27,81,5.9319017677067274E-5,NO
28,91,2.9661268315833188E-5,NO
29,67,1.9774569903104608E-5,NO
30,88,2.9661268315833188E-5,NO
31,85,5.9319017677067274E-5,NO
32,49,5.9319017677067274E-5,NO
33,102,5.9319017677067274E-5,NO
34,94,5.9319017677067274E-5,NO
35,72,1.9774569903104608E-5,NO
36,70,5.9319017677067274E-5,NO
37,87,5.9319017677067274E-5,NO
38,166,5.9319017677067274E-5,NO
39,116,5.9319017677067274E-5,NO
40,155,2.9661268315833188E-5,NO
41,67,1.9774569903104608E-5,NO
42,88,2.9661268315833188E-5,NO
43,40,9.887480472226067E-6,NO
44,57,5.9319017677067274E-5,NO
45,39,1.9774569903104608E-5,NO
46,98,5.9319017677067274E-5,NO
47,106,5.9319017677067274E-5,NO
48,101,5.9319017677067274E-5,NO
49,94,5.9319017677067274E-5,NO
50,76,2.9661268315833188E-5,NO
51,116,5.9319017677067274E-5,NO
52,56,5.9319017677067274E-5,NO
53,48,2.9661268315833188E-5,NO
54,82,5.9319017677067274E-5,NO
55,45,1.4831074066383888E-5,NO
56,45,1.4831074066383888E-5,NO
57,30,1.1864929640967229E-5,NO
58,78,2.9662852023896396E-6,NO
59,302,1.4831074066383888E-5,NO
60,87,0.027779334166092632,NO
61,198,0.11111623798663203,NO
62,175,7.415647015202076E-6,NO
63,65,0.018182857611300833,NO
64,105,2.4719067794515335E-6,NO
65,58,0.018519576456835996,NO
66,196,6.591697098334937E-6,NO
67,106,1.6479405686713315E-6,NO
68,130,3.122404501258329E-6,NO
69,64,0.013158654799392377,NO
70,132,0.16666831460451964,NO
71,62,1.3796719140188464E-6,NO
72,108,0.15384931319308173,NO
73,432,1.4831074066383888E-5,NO
74,174,3.122404501258329E-6,NO
75,246,1.1864929640967229E-5,NO
76,106,1.6479405686713315E-6,NO
77,121,0.13043668910727643,NO
78,110,3.122404501258329E-6,NO
79,58,0.018519576456835996,NO
80,37,0.1400004271470964,NO
81,77,0.08823673107592661,NO
82,142,3.4897436434319536E-6,NO
83,114,3.9550391153368505E-6,NO
84,80,0.1750009640455504,NO
85,59,9.725564034086156E-7,NO
86,69,0.06383088834864446,NO
87,95,0.09091056179775281,NO
88,64,0.013158654799392377,NO
89,164,8.475007203756124E-6,NO
90,70,0.04348061595604736,NO
91,32,0.12972996720714272,NO
92,148,9.887480472226067E-6,NO
93,156,2.5793804328200367E-6,NO
94,119,2.373030977546381E-6,NO
95,116,0.03571625315168337,NO
96,93,2.2817609718476334E-6,NO
97,256,0.9999406809823229,YES
98,123,6.591697098334937E-6,NO
99,201,3.4897436434319536E-6,NO
100,180,7.415647015202076E-6,NO
101,156,2.5793804328200367E-6,NO
102,98,0.07143038752463081,NO
103,86,0.029413406943916132,NO
104,48,0.10344881668546459,NO
105,143,5.393219644263232E-6,NO
106,145,0.14286319643371698,NO
107,113,1.6950244253019686E-6,NO
108,146,7.415647015202076E-6,NO
109,113,1.6950244253019686E-6,NO
110,147,4.9437891177313945E-6,NO
111,125,0.12121348314606742,NO
112,252,5.393219644263232E-6,NO
113,368,9.887480472226067E-6,NO
114,106,1.6479405686713315E-6,NO
115,181,7.415647015202076E-6,NO
116,260,1.4831074066383888E-5,NO
117,618,5.9319017677067274E-5,NO
118,39,0.015625898000159438,NO
119,39,0.015625898000159438,NO
120,39,0.015625898000159438,NO
121,24,5.493147298744816E-7,NO
122,62,1.3796719140188464E-6,NO
123,77,0.08823673107592661,NO
124,77,0.08823673107592661,NO
125,54,1.60340177721053E-6,NO
126,92,1.6479405686713315E-6,NO
127,58,0.018519576456835996,NO
128,24,5.493147298744816E-7,NO
129,64,0.013158654799392377,NO
130,216,5.932535209596469E-6,NO
131,36,0.03669775203477265,NO
132,36,0.03669775203477265,NO
133,208,1.4831074066383888E-5,NO
134,64,0.013158654799392377,NO
135,39,0.015625898000159438,NO
136,47,0.2195126009807596,NO
137,74,0.10714452189757824,NO
138,71,0.2553197666346054,NO
139,123,6.591697098334937E-6,NO
140,44,0.03448323478058076,NO
141,122,8.475007203756124E-6,NO
142,53,0.07692362855939573,NO
143,239,0.9999406809823229,YES
144,44,0.03448323478058076,NO
145,171,0.1111136745657691,NO
146,523,1.4831074066383888E-5,NO
147,132,0.16666831460451964,NO
148,178,5.932535209596469E-6,YES
149,130,3.122404501258329E-6,NO
150,460,9.887480472226067E-6,NO
151,71,0.2553197666346054,NO
152,447,5.9319017677067274E-5,NO
153,225,8.475007203756124E-6,NO
154,42,0.050505589226880546,NO
155,44,0.03448323478058076,NO
156,94,0.14000085429317918,NO
157,136,7.415647015202076E-6,NO
158,27,0.014706729133404874,NO
159,47,0.2195126009807596,NO
160,60,7.147707372860156E-7,NO
161,58,0.018519576456835996,NO
162,56,0.12195176653928465,NO
163,198,5.9319017677067274E-5,NO
164,54,1.60340177721053E-6,YES
165,49,0.09090972129124118,YES
166,32,0.12972996720714272,YES
167,43,0.13000043901229352,YES
168,111,3.7078510037152667E-6,YES
169,29,5.759804627427038E-7,YES
170,49,0.09090972129124118,YES
171,78,2.9662852023896396E-6,YES
172,45,0.020834517791593024,NO
173,31,0.059782892568964886,NO
174,30,6.379137668170017E-7,NO
175,36,0.03669775203477265,YES
176,43,0.13000043901229352,YES
177,47,0.2195126009807596,NO
178,35,0.03125086903241236,NO
179,62,1.3796719140188464E-6,NO
180,64,0.013158654799392377,NO
181,30,6.379137668170017E-7,NO
182,154,3.7078510037152667E-6,NO
183,53,0.07692362855939573,NO
