ID, Size, Predicted, Actual
0,111,5.1564997679575106E-5,NO
1,22,4.192705112374979E-7,NO
2,75,5.1564997679575106E-5,NO
3,131,5.1564997679575106E-5,NO
4,74,0.029412478480801463,NO
5,84,0.04687573024255737,NO
6,70,0.054795149571366504,NO
7,57,0.057143292157341374,NO
8,70,0.054795149571366504,NO
9,59,4.1588930024961675E-7,NO
10,88,0.029412478480801463,NO
11,40,0.014388669375034783,NO
12,99,0.027028345475553654,NO
13,187,4.297489406688612E-6,NO
14,196,2.7142124305500896E-6,NO
15,192,0.20000309418705392,NO
16,97,0.017858030864777358,NO
17,98,0.14285780064057582,NO
18,96,6.446281204835743E-7,NO
19,173,0.47368435337960163,NO
20,141,0.10000412558273858,NO
21,142,0.08571550655898817,NO
22,188,2.7142124305500896E-6,NO
23,90,0.03333493773765239,NO
24,110,0.020834362946807485,NO
25,62,5.262271617411805E-7,NO
26,61,0.03418844482135309,NO
27,120,2.3440942888486747E-6,NO
28,116,0.0163942603180615,NO
29,58,0.015873412167637768,NO
30,74,0.029412478480801463,NO
31,75,5.1564997679575106E-5,NO
32,49,5.1564997679575106E-5,NO
33,102,5.1564997679575106E-5,NO
34,62,2.5783828382838288E-5,NO
35,107,2.5783828382838288E-5,NO
36,51,0.33333906317146544,NO
37,43,5.1564997679575106E-5,NO
38,73,5.1564997679575106E-5,NO
39,42,5.1564997679575106E-5,NO
40,82,0.9999484350023206,NO
41,83,0.030303519644363137,NO
42,466,5.1564997679575106E-5,NO
43,106,2.5783828382838288E-5,NO
44,119,2.5783828382838288E-5,NO
45,332,5.1564997679575106E-5,NO
46,91,5.1564997679575106E-5,NO
47,84,5.1564997679575106E-5,NO
48,123,5.1564997679575106E-5,NO
49,263,5.1564997679575106E-5,NO
50,99,5.1564997679575106E-5,NO
51,259,5.1564997679575106E-5,NO
52,1066,5.1564997679575106E-5,NO
53,137,5.1564997679575106E-5,NO
54,151,5.1564997679575106E-5,NO
55,121,5.1564997679575106E-5,NO
56,122,2.5783828382838288E-5,NO
57,107,2.5783828382838288E-5,NO
58,83,0.5000000000000001,NO
59,288,5.1564997679575106E-5,NO
60,504,5.1564997679575106E-5,NO
61,72,0.026549104708183016,NO
62,76,0.05109522846950334,NO
63,69,0.026087381562148678,NO
64,83,0.030303519644363137,NO
65,65,0.05454587222200344,NO
66,88,0.029412478480801463,NO
67,40,0.014388669375034783,NO
68,86,0.012048799127655016,NO
69,89,0.01694999698445289,NO
70,49,0.04698017936074311,NO
71,102,1.7782804383816938E-6,NO
72,94,0.03260921964109342,NO
73,72,0.026549104708183016,NO
74,60,0.02857170641949864,NO
75,76,0.05109522846950334,NO
76,92,0.014286429954352973,NO
77,96,6.446281204835743E-7,NO
78,70,0.054795149571366504,NO
79,86,0.012048799127655016,NO
80,101,0.088889831159172,NO
81,169,2.5783828382838288E-5,NO
82,115,1.663553049874984E-6,NO
83,153,1.393788442427478E-6,NO
84,58,0.015873412167637768,NO
85,47,0.062112081764203374,NO
86,49,0.04698017936074311,NO
87,58,0.015873412167637768,NO
88,70,0.054795149571366504,NO
89,141,0.10000412558273858,NO
90,93,9.91734881497599E-7,NO
