ID, Size, Predicted, Actual
0,233,0.1269896380492964,NO
1,557,0.9700499120179255,NO
2,22,0.09154023653699805,NO
3,39,0.09154023653699805,NO
4,39,0.09154023653699805,NO
5,24,0.09154023653699805,NO
6,45,0.09154023653699805,NO
7,77,0.09154023653699805,NO
8,77,0.09154023653699805,NO
9,54,0.09154023653699805,NO
10,90,0.09154023653699805,NO
11,58,0.09154023653699805,NO
12,24,0.09154023653699805,NO
13,64,0.09154023653699805,NO
14,214,0.1269896380492964,NO
15,19,0.09154023653699805,NO
16,35,0.09154023653699805,NO
17,157,0.09154023653699805,NO
18,55,0.09154023653699805,NO
19,26,0.09154023653699805,NO
20,54,0.09154023653699805,NO
