ID, Size, Predicted, Actual
0,78,0.9999999414260289,YES
1,302,0.9999999525156197,YES
2,87,0.9999999413341766,YES
3,198,0.999999974648362,YES
4,175,0.9999999429038748,YES
5,68,0.9999999999957764,YES
6,105,0.999999941344281,YES
7,58,0.9999999419131634,YES
8,196,0.9999999441995167,YES
9,106,0.9999999999813881,YES
10,130,0.9999999416696197,YES
11,64,0.9999999416193599,YES
12,132,0.9999999416696197,YES
13,62,0.9999999416193599,YES
14,108,0.999999941344281,YES
15,432,1.0,YES
16,174,0.9999999429038748,YES
17,246,0.9999999467867104,YES
18,106,0.999999941344281,YES
19,121,0.99999994145629,YES
20,110,0.999999941344281,YES
21,58,0.9999999419131634,YES
22,37,0.9999999423059155,YES
23,77,0.9999999414260289,YES
24,142,0.999999941983161,YES
25,114,0.99999994145629,YES
26,80,0.9999999414260289,YES
27,59,0.9999999419131634,YES
28,69,1.0,YES
29,95,0.8221687669813189,NO
30,64,0.9999999416193599,YES
31,164,0.999999959268454,YES
32,70,0.9999999416193599,YES
33,32,0.999999942795587,YES
34,148,0.999999941983161,YES
35,156,0.9999999423952884,YES
36,119,0.99999994145629,YES
37,118,0.9999999994426543,YES
38,93,0.36632801936437487,NO
39,229,0.9999999458438182,YES
40,123,0.9999999999957645,YES
41,201,0.8293723510956806,NO
42,180,0.8276180459845284,NO
43,156,0.9999999423952884,YES
44,98,0.36632801936437487,NO
45,85,0.9999999414260289,YES
46,48,0.9999999419131634,YES
47,145,0.05966842928640114,NO
48,145,1.0,YES
49,113,0.05905690052793244,NO
50,146,0.999999941983161,YES
51,113,0.999999941344281,YES
52,147,0.999999941983161,YES
53,125,0.99999994145629,YES
54,252,0.999999947804043,YES
55,368,0.999999959430595,YES
56,106,0.999999941344281,YES
57,181,0.9999999435063084,YES
58,260,1.0,YES
59,610,1.0,YES
60,39,0.999999973788049,YES
61,39,0.010334482619362557,NO
62,39,0.010334482619362557,NO
63,24,0.010422024112295118,NO
64,62,0.01021419056924133,NO
65,77,0.999999973388293,YES
66,77,0.010180820553268372,NO
67,54,0.010265323669191126,NO
68,92,0.9999999963507659,YES
69,58,0.010265323669191126,NO
70,24,0.010422024112295118,NO
71,64,0.01021419056924133,NO
72,216,0.9999999750029523,YES
73,36,0.010334482619362557,NO
74,36,0.010334482619362557,NO
75,208,0.010831317597264793,NO
76,39,0.9999999924767489,YES
77,47,0.9999999924255344,YES
78,74,0.010180820553268372,NO
79,71,0.9999999734761285,YES
80,56,0.9999999736096111,YES
81,44,0.999999973788049,YES
82,55,0.9999999736096111,YES
83,53,0.9999999999369735,YES
84,187,0.999999999999788,YES
85,44,0.9999999994507429,YES
86,171,0.9999989029076767,NO
87,493,0.9999999998957694,NO
88,122,0.10697472177940731,NO
89,132,0.9999999998033342,YES
90,115,0.9997598051774927,NO
91,201,0.9999999998118642,YES
92,116,0.9999999994426543,YES
93,225,0.11464779182944412,NO
94,42,0.10837933789070499,NO
95,44,0.10837933789070499,NO
96,136,0.2013001754287494,NO
97,27,0.06046461067747873,NO
98,47,0.9999529728843675,NO
99,60,0.05931865944785061,NO
100,58,0.9999999998041554,YES
101,56,0.1077254762602317,NO
102,205,0.9999999998118642,YES
103,44,0.9999999998054796,YES
104,49,0.9999999994470038,YES
105,30,0.9999999994554046,YES
