DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
STORM,4,98.76905041031652,IBk,None,SMOTE,None,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.76905041031652,RandomForest,BestFirst,SMOTE,None,0.0,NaN,NaN,0.0,0.0,1.0,20.0,0.0
STORM,4,98.76905041031652,NaiveBayes,BestFirst,SMOTE,None,0.0,NaN,NaN,0.0,0.0,1.0,20.0,0.0
STORM,4,98.76905041031652,IBk,BestFirst,SMOTE,None,0.0,NaN,NaN,0.0,0.0,1.0,20.0,0.0
STORM,4,98.76905041031652,RandomForest,None,SMOTE,SensitiveLearning,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.76905041031652,NaiveBayes,None,SMOTE,SensitiveLearning,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.76905041031652,IBk,None,SMOTE,SensitiveLearning,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.76905041031652,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.76905041031652,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,4,98.76905041031652,IBk,BestFirst,SMOTE,SensitiveLearning,0.0,NaN,NaN,0.0,0.0,3.0,18.0,0.0
STORM,5,67.59112519809825,RandomForest,None,None,None,0.7466666666666667,0.29473684210526313,0.7574086490110626,0.3352419397673555,56.0,19.0,609.0,134.0
STORM,5,67.59112519809825,NaiveBayes,None,None,None,0.7130434782608696,0.43157894736842106,0.6501927589674824,0.439535448758443,82.0,33.0,595.0,108.0
STORM,5,67.59112519809825,IBk,None,None,None,0.6666666666666666,0.24210526315789474,0.7483238350653705,0.26414281251009997,46.0,23.0,605.0,144.0
STORM,5,67.59112519809825,RandomForest,BestFirst,None,None,0.6470588235294118,0.4052631578947368,0.7407978545088837,0.3890875099979765,77.0,42.0,586.0,113.0
STORM,5,67.59112519809825,NaiveBayes,BestFirst,None,None,0.9318181818181818,0.43157894736842106,0.7048650687227623,0.5192303726464704,82.0,6.0,622.0,108.0
STORM,5,67.59112519809825,IBk,BestFirst,None,None,0.6792452830188679,0.37894736842105264,0.7707006369426752,0.38401173160001595,72.0,34.0,594.0,118.0
STORM,5,67.59112519809825,RandomForest,None,None,SensitiveLearning,0.5461538461538461,0.3736842105263158,0.7517641635936976,0.31435298549632723,71.0,59.0,569.0,119.0
STORM,5,67.59112519809825,NaiveBayes,None,None,SensitiveLearning,0.21888412017167383,0.8052631578947368,0.6501927589674824,-0.033172870692531324,153.0,546.0,82.0,37.0
STORM,5,67.59112519809825,IBk,None,None,SensitiveLearning,0.5822784810126582,0.24210526315789474,0.7483238350653705,0.23805664607255997,46.0,33.0,595.0,144.0
STORM,5,67.59112519809825,RandomForest,BestFirst,None,SensitiveLearning,0.5644171779141104,0.4842105263157895,0.7461112973516594,0.3905049952824782,92.0,71.0,557.0,98.0
STORM,5,67.59112519809825,NaiveBayes,BestFirst,None,SensitiveLearning,0.8969072164948454,0.45789473684210524,0.7048650687227623,0.5329398805493517,87.0,10.0,618.0,103.0
STORM,5,67.59112519809825,IBk,BestFirst,None,SensitiveLearning,0.631578947368421,0.37894736842105264,0.7707006369426752,0.3626553430207644,72.0,42.0,586.0,118.0
STORM,5,67.59112519809825,RandomForest,None,SMOTE,None,0.7283950617283951,0.3105263157894737,0.7612386858866913,0.344393340946474,59.0,22.0,606.0,131.0
STORM,5,67.59112519809825,NaiveBayes,None,SMOTE,None,0.21963824289405684,0.8947368421052632,0.6627430439155213,-0.03236036502491743,170.0,604.0,24.0,20.0
STORM,5,67.59112519809825,IBk,None,SMOTE,None,0.6091954022988506,0.2789473684210526,0.7488518270197787,0.27721339768299835,53.0,34.0,594.0,137.0
STORM,5,67.59112519809825,RandomForest,BestFirst,SMOTE,None,0.625,0.4473684210526316,0.749006872276232,0.4064412897464044,85.0,51.0,577.0,105.0
STORM,5,67.59112519809825,NaiveBayes,BestFirst,SMOTE,None,0.9139784946236559,0.4473684210526316,0.7251299027824338,0.5287682127308135,85.0,8.0,620.0,105.0
STORM,5,67.59112519809825,IBk,BestFirst,SMOTE,None,0.6517857142857143,0.38421052631578945,0.7683665772712035,0.3759267591306559,73.0,39.0,589.0,117.0
STORM,5,67.59112519809825,RandomForest,None,SMOTE,SensitiveLearning,0.5398230088495575,0.32105263157894737,0.7363266845457593,0.2774627404667321,61.0,52.0,576.0,129.0
STORM,5,67.59112519809825,NaiveBayes,None,SMOTE,SensitiveLearning,0.5398230088495575,0.32105263157894737,0.7363266845457593,0.2774627404667321,61.0,52.0,576.0,129.0
STORM,5,67.59112519809825,IBk,None,SMOTE,SensitiveLearning,0.5398230088495575,0.32105263157894737,0.7363266845457593,0.2774627404667321,61.0,52.0,576.0,129.0
STORM,5,67.59112519809825,RandomForest,BestFirst,SMOTE,SensitiveLearning,0.6178343949044586,0.5105263157894737,0.7765672142138786,0.4417403406100292,97.0,60.0,568.0,93.0
STORM,5,67.59112519809825,NaiveBayes,BestFirst,SMOTE,SensitiveLearning,0.6178343949044586,0.5105263157894737,0.7765672142138786,0.4417403406100292,97.0,60.0,568.0,93.0
STORM,5,67.59112519809825,IBk,BestFirst,SMOTE,SensitiveLearning,0.6178343949044586,0.5105263157894737,0.7765672142138786,0.4417403406100292,97.0,60.0,568.0,93.0
STORM,6,73.18063206726588,RandomForest,None,None,None,0.6020408163265306,0.33810888252148996,0.6831398241006049,0.2218574147126324,118.0,78.0,498.0,231.0
STORM,6,73.18063206726588,NaiveBayes,None,None,None,0.551948051948052,0.4871060171919771,0.7054083094555874,0.25338836536037734,170.0,138.0,438.0,179.0
STORM,6,73.18063206726588,IBk,None,None,None,0.5454545454545454,0.30945558739255014,0.6927580786373766,0.16748465757223915,108.0,90.0,486.0,241.0
STORM,6,73.18063206726588,RandomForest,BestFirst,None,None,0.6190476190476191,0.18624641833810887,0.6380357569245463,0.135464143541222,65.0,40.0,536.0,284.0
STORM,6,73.18063206726588,NaiveBayes,BestFirst,None,None,0.6747967479674797,0.23782234957020057,0.5906633038841134,0.19300576485547952,83.0,40.0,536.0,266.0
STORM,6,73.18063206726588,IBk,BestFirst,None,None,0.6036036036036037,0.19197707736389685,0.6161005651066539,0.133531788220285,67.0,44.0,532.0,282.0
STORM,6,73.18063206726588,RandomForest,None,None,SensitiveLearning,0.5587044534412956,0.3954154727793696,0.6934321275071633,0.21877886691264578,138.0,109.0,467.0,211.0
STORM,6,73.18063206726588,NaiveBayes,None,None,SensitiveLearning,0.5730027548209367,0.5959885386819485,0.7053635386819485,0.32432765913342193,208.0,155.0,421.0,141.0
STORM,6,73.18063206726588,IBk,None,None,SensitiveLearning,0.5454545454545454,0.30945558739255014,0.6927580786373766,0.16748465757223915,108.0,90.0,486.0,241.0
